,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
83,1629948004793,1629948718739,1629949066120,1629953803328,1629954171393,1629954547210,1629957713704,1629958152919,1629958706658
84,1629948007205,1629948720843,1629949068537,1629953805950,1629954173708,1629954550038,1629957716519,1629958155597,1629958710057
85,1630144578608,1630144963944,1630145319957,1630149507943,1630149956832,1630150467950,1630155707068,1630156245479,1630156780081
86,1630144579458,1630144965301,1630145320538,1630149508435,1630149957428,1630150468456,1630155707881,1630156246098,1630156780665
87,1630144583814,1630144968762,1630145324766,1630149512612,1630149961009,1630150473213,1630155712875,1630156250877,1630156784927
88,1630144584569,1630144970502,1630145325544,1630149513753,1630149962259,1630150473919,1630155713687,1630156251812,1630156785752
89,1630144593589,1630144980663,1630145336924,1630149526806,1630149975179,1630150484095,1630155725075,1630156266441,1630156797470
90,1630144593915,1630144982816,1630145338556,1630149529365,1630149982911,1630150484224,1630155727645,1630156264850,1630156805319
91,1630144596549,1630144984566,1630145340325,1630149531001,1630149984549,1630150487034,1630155729772,1630156269263,1630156807007
92,1630144609584,1630144997163,1630145352734,1630149543398,1630149996795,1630150499513,1630155742404,1630156281677,1630156819175
93,1630144611941,1630145000562,1630145355622,1630149546082,1630149999912,1630150502263,1630155745523,1630156284246,1630156821168
94,1630144616036,1630145004095,1630145359207,1630149549713,1630150003335,1630150506866,1630155762579,1630156288558,1630156825015
95,1630144622876,1630145011197,1630145365277,1630149557390,1630150013203,1630150514543,1630155768828,1630156296710,1630156831732
96,1630144623818,1630145012171,1630145366141,1630149558352,1630150014100,1630150515467,1630155769750,1630156297637,1630156832628
97,1630144648457,1630145032207,1630145392972,1630149585106,1630150046251,1630150540291,1630155800062,1630156328706,1630156867388
98,1630144655922,1630145041470,1630145399813,1630149592675,1630150051432,1630150548672,1630155810562,1630156337012,1630156874868
99,1630061163602,1630061530189,1630061984325,1630066077336,1630066941298,1630067516043,1630073958027,1630074421057,1630074991140
100,1630061164760,1630061531143,1630061985009,1630066078255,1630066942245,1630067516776,1630073958840,1630074421726,1630074991827
101,1630061169879,1630061536012,1630061990178,1630066083244,1630066947521,1630067521484,1630073962447,1630074425405,1630074995727
102,1630061170771,1630061537138,1630061991406,1630066084222,1630066949295,1630067522424,1630073964759,1630074426349,1630074997155
103,1630061183410,1630061549996,1630062002242,1630066096558,1630066961335,1630067536530,1630073980095,1630074431891,1630075008942
104,1630061186697,1630061553242,1630062003185,1630066097379,1630066962207,1630067538679,1630073985075,1630074439906,1630075014100
105,1630061188479,1630061554961,1630062005225,1630066100697,1630066964158,1630067541031,1630073987661,1630074441868,1630075015961
106,1630061200440,1630061567878,1630062021116,1630066116083,1630066977537,1630067553768,1630074001283,1630074454063,1630075028820
107,1630061203697,1630061570030,1630062023188,1630066117948,1630066979461,1630067556958,1630074003074,1630074456626,1630075031137
108,1630061207290,1630061573587,1630062026836,1630066121206,1630066982957,1630067560515,1630074006865,1630074460613,1630075034797
109,1630061216771,1630061583823,1630062038261,1630066131110,1630066992104,1630067573260,1630074016341,1630074471417,1630075042724
110,1630061217797,1630061584945,1630062039632,1630066132278,1630066993339,1630067574367,1630074017428,1630074472462,1630075043758
111,1630061243133,1630061609494,1630062077096,1630066175422,1630067033572,1630067610411,1630074051210,1630074503856,1630075071518
112,1630061248415,1630061614158,1630062081557,1630066183504,1630067040450,1630067617208,1630074057468,1630074510797,1630075075463
113,1630143145129,1630143589418,1630143959375,1630149122196,1630149531996,1630150003353,1630153741787,1630154297982,1630154838969
114,1630143145980,1630143590393,1630143960313,1630149123364,1630149533581,1630150004401,1630153743321,1630154300626,1630154839775
115,1630143151104,1630143596732,1630143965415,1630149129519,1630149540478,1630150010091,1630153751642,1630154306605,1630154843431
116,1630143153130,1630143597789,1630143968280,1630149130481,1630149542005,1630150011775,1630153760626,1630154309504,1630154844561
117,1630143164909,1630143609505,1630143981975,1630149143033,1630149556360,1630150027201,1630153787173,1630154327257,1630154858728
118,1630143170930,1630143613903,1630143987541,1630149148319,1630149560805,1630150031931,1630153791664,1630154331978,1630154864413
119,1630143173007,1630143615998,1630143989761,1630149149756,1630149562350,1630150034098,1630153794152,1630154333925,1630154866254
120,1630143183035,1630143627262,1630143998683,1630149160535,1630149575586,1630150044377,1630153803996,1630154343672,1630154877502
121,1630143185757,1630143629577,1630144001036,1630149162986,1630149577011,1630150046079,1630153807244,1630154346252,1630154879553
